datetime,time,value,type
2025-04-20 15:48:00,15:48:00,11.8,1
2025-04-20 15:49:00,15:49:00,11.3,0
2025-04-20 16:04:00,16:04:00,11.0,0
2025-04-20 16:07:00,16:07:00,12.1,1
2025-04-20 16:16:00,16:16:00,9.8,1
2025-04-20 16:19:00,16:19:00,9.2,0
2025-04-20 16:21:00,16:21:00,8.3,1
2025-04-20 16:25:00,16:25:00,7.9,1
2025-04-20 16:26:00,16:26:00,7.9,1
2025-04-20 16:27:00,16:27:00,7.9,1
2025-04-20 16:28:00,16:28:00,7.9,1
2025-04-20 16:30:00,16:30:00,8.2,1
2025-04-20 16:31:00,16:31:00,8.4,1
2025-04-20 16:33:00,16:33:00,8.6,1
2025-04-20 16:34:00,16:34:00,8.7,0
2025-04-20 16:38:00,16:38:00,8.2,1
2025-04-20 16:40:00,16:40:00,8.0,1
2025-04-20 16:47:00,16:47:00,7.6,1
2025-04-20 16:48:00,16:48:00,7.5,1
2025-04-20 16:49:00,16:49:00,7.8,1
2025-04-20 16:49:00,16:49:00,8.2,0
2025-04-20 16:58:00,16:58:00,8.0,1
2025-04-20 16:59:00,16:59:00,7.9,1
2025-04-20 17:01:00,17:01:00,7.5,1
2025-04-20 17:05:00,17:05:00,7.7,0
2025-04-20 17:20:00,17:20:00,8.2,0
2025-04-20 17:28:00,17:28:00,8.3,1
2025-04-20 17:35:00,17:35:00,7.8,0
2025-04-20 17:38:00,17:38:00,7.1,1
2025-04-20 17:39:00,17:39:00,6.9,1
2025-04-20 17:50:00,17:50:00,7.7,0
2025-04-20 17:55:00,17:55:00,7.4,1
2025-04-20 17:56:00,17:56:00,7.6,1
2025-04-20 18:01:00,18:01:00,8.1,1
2025-04-20 18:02:00,18:02:00,8.1,1
2025-04-20 18:03:00,18:03:00,8.2,1
2025-04-20 18:05:00,18:05:00,7.9,0
2025-04-20 18:20:00,18:20:00,7.7,0
2025-04-20 18:26:00,18:26:00,7.6,1
2025-04-20 18:31:00,18:31:00,8.3,1
2025-04-20 18:33:00,18:33:00,8.9,1
2025-04-20 18:34:00,18:34:00,9.1,1
2025-04-20 18:35:00,18:35:00,8.9,0
2025-04-20 18:35:00,18:35:00,9.1,1
2025-04-20 18:40:00,18:40:00,9.7,1
2025-04-20 18:46:00,18:46:00,9.9,1
2025-04-20 18:48:00,18:48:00,9.7,1
2025-04-20 18:50:00,18:50:00,9.6,0
2025-04-20 19:06:00,19:06:00,9.8,1
2025-04-20 19:06:00,19:06:00,9.4,0
2025-04-20 19:14:00,19:14:00,9.6,1
2025-04-20 19:15:00,19:15:00,9.5,1
2025-04-20 19:21:00,19:21:00,9.6,0
2025-04-20 19:23:00,19:23:00,9.6,1
2025-04-20 19:36:00,19:36:00,10.4,1
2025-04-20 19:36:00,19:36:00,10.6,0
2025-04-20 19:39:00,19:39:00,10.5,1
2025-04-20 19:39:00,19:39:00,10.5,1
2025-04-20 19:40:00,19:40:00,10.4,1
2025-04-20 19:50:00,19:50:00,10.2,1
2025-04-20 19:51:00,19:51:00,9.7,0
2025-04-20 19:51:00,19:51:00,10.3,1
2025-04-20 19:52:00,19:52:00,10.4,1
2025-04-20 19:54:00,19:54:00,9.8,1
2025-04-20 19:55:00,19:55:00,9.6,1
2025-04-20 19:55:00,19:55:00,9.6,1
2025-04-20 19:56:00,19:56:00,9.5,1
2025-04-20 19:58:00,19:58:00,9.4,1
2025-04-20 19:58:00,19:58:00,9.4,1
2025-04-20 20:02:00,20:02:00,9.0,1
2025-04-20 20:05:00,20:05:00,8.2,1
2025-04-20 20:06:00,20:06:00,8.1,0
2025-04-20 20:06:00,20:06:00,7.9,1
2025-04-20 20:07:00,20:07:00,7.8,1
2025-04-20 20:08:00,20:08:00,7.4,1
2025-04-20 20:09:00,20:09:00,7.2,1
2025-04-20 20:10:00,20:10:00,6.9,1
2025-04-20 20:11:00,20:11:00,6.9,1
2025-04-20 20:11:00,20:11:00,6.7,1
2025-04-20 20:12:00,20:12:00,6.5,1
2025-04-20 20:13:00,20:13:00,6.3,1
2025-04-20 20:14:00,20:14:00,6.2,1
2025-04-20 20:15:00,20:15:00,6.2,1
2025-04-20 20:17:00,20:17:00,6.4,1
2025-04-20 20:18:00,20:18:00,6.5,1
2025-04-20 20:19:00,20:19:00,6.5,1
2025-04-20 20:20:00,20:20:00,6.5,1
2025-04-20 20:21:00,20:21:00,6.4,1
2025-04-20 20:21:00,20:21:00,6.7,0
2025-04-20 20:22:00,20:22:00,6.4,1
2025-04-20 20:23:00,20:23:00,6.3,1
2025-04-20 20:24:00,20:24:00,6.2,1
2025-04-20 20:35:00,20:35:00,5.6,1
2025-04-20 20:36:00,20:36:00,5.7,1
2025-04-20 20:36:00,20:36:00,6.3,0
2025-04-20 20:40:00,20:40:00,6.1,1
2025-04-20 20:42:00,20:42:00,6.1,1
2025-04-20 20:42:00,20:42:00,6.1,1
2025-04-20 20:43:00,20:43:00,6.1,1
2025-04-20 20:44:00,20:44:00,6.2,1
2025-04-20 20:45:00,20:45:00,6.3,1
2025-04-20 20:46:00,20:46:00,6.4,1
2025-04-20 20:48:00,20:48:00,6.3,1
2025-04-20 20:51:00,20:51:00,6.4,1
2025-04-20 20:51:00,20:51:00,6.6,0
2025-04-20 20:52:00,20:52:00,6.5,1
2025-04-20 20:52:00,20:52:00,6.5,1
2025-04-20 21:07:00,21:07:00,6.9,0
2025-04-20 21:19:00,21:19:00,7.5,1
2025-04-20 21:19:00,21:19:00,7.5,1
2025-04-20 21:20:00,21:20:00,7.4,1
2025-04-20 21:21:00,21:21:00,7.4,1
2025-04-20 21:22:00,21:22:00,6.7,0
2025-04-20 21:23:00,21:23:00,7.2,1
2025-04-20 21:24:00,21:24:00,7.1,1
2025-04-20 21:29:00,21:29:00,6.7,1
2025-04-20 21:29:00,21:29:00,6.7,1
2025-04-20 21:29:00,21:29:00,6.7,1
2025-04-20 21:33:00,21:33:00,6.3,1
2025-04-20 21:35:00,21:35:00,5.8,1
2025-04-20 21:36:00,21:36:00,5.6,1
2025-04-20 21:37:00,21:37:00,5.6,1
2025-04-20 21:37:00,21:37:00,6.4,0
2025-04-20 21:39:00,21:39:00,6.1,1
2025-04-20 21:40:00,21:40:00,6.2,1
2025-04-20 21:41:00,21:41:00,6.4,1
